file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\PROJECTS\huston\huston\src\chainOfResponsibility\Composite.java,chainOfResponsibility.Composite,add/1[chainOfResponsibility.Component],FALSE,8,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,FALSE
C:\PROJECTS\huston\huston\src\chainOfResponsibility\Composite.java,chainOfResponsibility.Composite,traverse/0,FALSE,9,1,2,1,1,2,1,4,0,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,3,1,0,FALSE
C:\PROJECTS\huston\huston\src\chainOfResponsibility\Composite.java,chainOfResponsibility.Composite,volunteer/0,FALSE,15,0,1,1,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,FALSE
C:\PROJECTS\huston\huston\src\chainOfResponsibility\Composite.java,chainOfResponsibility.Composite,"Composite/2[int,chainOfResponsibility.Component]",TRUE,7,1,1,1,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,FALSE
C:\PROJECTS\huston\huston\src\factory\Product.java,factory.Product,getName/0,FALSE,4,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,FALSE
C:\PROJECTS\huston\huston\src\factory\Creator.java,factory.Creator,anOperation/0,FALSE,5,2,3,1,2,1,3,4,0,1,0,3,1,1,0,0,0,0,1,0,1,1,0,0,0,0,4,1,0,FALSE
C:\PROJECTS\huston\huston\src\factory\Creator.java,factory.Creator,factoryMethod/0,FALSE,4,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1025,0,FALSE
C:\PROJECTS\huston\huston\src\observer\Surveillance.java,observer.Surveillance,alarm/0,FALSE,5,1,1,0,1,1,2,4,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,FALSE
C:\PROJECTS\huston\huston\src\observer\Surveillance.java,observer.Surveillance,isolate/0,FALSE,8,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,4,0,FALSE
C:\PROJECTS\huston\huston\src\singleton\ClassicSingleton.java,singleton.ClassicSingleton,ClassicSingleton/0,TRUE,5,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,FALSE
C:\PROJECTS\huston\huston\src\singleton\ClassicSingleton.java,singleton.ClassicSingleton,getInstance/0,FALSE,8,1,1,0,1,2,0,6,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,6,9,0,FALSE
C:\PROJECTS\huston\huston\src\state\StateDemo2.java,state.StateDemo2,main/1[java.lang.String[]],FALSE,3,2,4,0,4,5,3,7,0,3,1,3,0,0,1,3,0,0,0,12,3,0,4,0,0,0,8,9,0,FALSE
C:\PROJECTS\huston\huston\src\visitor\Composite.java,visitor.Composite,accept/1[visitor.Visitor],FALSE,17,2,3,1,2,2,4,4,0,1,1,4,0,0,1,0,0,1,0,1,1,0,1,0,0,0,5,1,0,FALSE
C:\PROJECTS\huston\huston\src\visitor\Composite.java,visitor.Composite,getLetter/0,FALSE,22,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,FALSE
C:\PROJECTS\huston\huston\src\visitor\Composite.java,visitor.Composite,add/1[visitor.Component],FALSE,11,1,1,1,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,FALSE
C:\PROJECTS\huston\huston\src\visitor\Composite.java,visitor.Composite,traverse/0,FALSE,12,1,2,1,1,2,4,4,0,1,0,4,0,0,1,0,0,1,1,1,1,1,1,0,0,0,4,1,0,FALSE
